feature,importance
cat__cp_asymptomatic,0.07071451655553176
num__age,0.07023105100998368
num__oldpeak,0.06512918253567983
num__chol,0.06158395564010139
num__trestbps,0.058961665658964824
cat__slope_flat,0.04074965268703695
cat__exang_True,0.03911886361514131
cat__sex_Male,0.03662499763073471
cat__thal_reversable defect,0.03583317383563792
num__ca,0.03168386527801811
cat__fbs_False,0.030465355036821774
cat__restecg_normal,0.030359113891991012
cat__restecg_lv hypertrophy,0.02982137595690374
cat__exang_False,0.028889576347858152
cat__thal_nan,0.027159953983883153
cat__fbs_True,0.023392334261549016
cat__restecg_st-t abnormality,0.021801549942912817
cat__slope_downsloping,0.020087084078472046
cat__slope_2,0.02007572570222861
cat__slope_nan,0.01941550818570556
cat__thal_3,0.01777751228725095
cat__fbs_0,0.016562698685702607
cat__slope_upsloping,0.016421751801778756
cat__cp_non-anginal,0.016332800790534552
cat__thal_normal,0.015263569371110805
cat__thal_fixed defect,0.01434817611992228
cat__thal_2,0.013642537200687869
cat__fbs_nan,0.01323081217068046
cat__cp_atypical angina,0.013001494400477421
cat__sex_1,0.012902522134078744
cat__sex_Female,0.011534378975413892
cat__cp_3,0.010812530890975546
cat__exang_0,0.009579957540143512
cat__slope_1,0.008814138638659411
cat__exang_nan,0.008559976182949272
cat__cp_0,0.006542354861715494
cat__thal_7,0.00602598012361124
cat__restecg_1,0.004363740158155439
cat__restecg_0,0.00428490506221883
cat__exang_1,0.003122320355160628
cat__sex_0,0.002943726762622192
cat__cp_typical angina,0.00266700863692007
cat__restecg_2,0.002437829621298448
cat__cp_2,0.0019854199265088098
cat__cp_1,0.0011759888547572446
cat__fbs_1,0.0011443721008851904
cat__thal_1,0.0008829970898061472
cat__thal_6,0.000561122383405922
cat__slope_0,0.00043096369396140036
cat__slope_3,0.0003756012980737818
cat__restecg_nan,0.00010212459442674044
cat__thal_0,7.018545095009674e-05
